id,baseline_any_ear,candidate_any_ear,category
5ae2dfd155429928c423951b,0,0,neither
5ae09d6155429945ae9593d4,0,0,neither
5a8b8a745542995d1e6f13e4,0,0,neither
5ac06e24554299294b218fd1,0,0,neither
5add1eed5542992ae4cec485,0,1,candidate_only
5a88bb4a554299206df2b353,0,1,candidate_only
5adfb4b8554299603e418381,0,0,neither
5a7744555542994aec3b725b,1,0,baseline_only
5ae37d265542994393b9e6e7,0,0,neither
5a815c2e5542995ce29dcbe8,0,0,neither
5abc32cb55429959677d6a40,0,0,neither
5ac5382c5542996feb3fea43,0,0,neither
5a7cfea2554299452d57babe,1,0,baseline_only
5ac199955542994ab5c67d8c,0,0,neither
5a7cc0d4554299452d57ba07,0,0,neither
5a8c8f24554299653c1aa0ba,1,1,shared
5a8bc3ac5542995e66a47501,0,1,candidate_only
5ac2ea1a5542990b17b154a1,0,0,neither
5a80870d5542992bc0c4a752,0,0,neither
5a84a97f5542992a431d1a87,0,0,neither
5ae684fe5542991bbc97610e,0,0,neither
5aba749855429955dce3ee34,1,1,shared
5a70f6425542994082a3e44c,0,0,neither
5ae64b015542992ae0d162bc,0,0,neither
5ae12bcc5542997b2ef7d11a,0,0,neither
5ac34994554299741d48a242,0,0,neither
5ac29aa655429967731025b2,0,1,candidate_only
5a7625e8554299109176e66a,0,0,neither
5a7561495542992db947364e,1,1,shared
5ae3294155429928c423963d,0,1,candidate_only
5adeda67554299728e26c7db,0,1,candidate_only
5ae151985542990adbacf74d,1,0,baseline_only
5ab2e3a35542991669774124,0,0,neither
5ab5ee055542997d4ad1f259,0,0,neither
5a73595055429901807dafd6,0,0,neither
5abf12f25542997719eab667,0,1,candidate_only
5ae26cb15542994d89d5b421,0,0,neither
5adebc51554299728e26c799,0,0,neither
5a8335d95542993344745ff1,0,0,neither
5a861ea85542994775f60700,0,1,candidate_only
5ac2c22e5542990b17b15485,0,0,neither
5a865bbf5542991e77181615,0,0,neither
5a75ebfc5542992d0ec06018,1,0,baseline_only
5abe36aa5542993f32c2a08f,0,0,neither
5ade4fcc5542997c77adeded,0,0,neither
5a7331705542991f9a20c67a,0,0,neither
5a87bd4e5542996432c57279,0,1,candidate_only
5a89e8035542992e4fca846d,0,0,neither
5ac1a4ed5542994d76dcce90,0,0,neither
5a7184675542994082a3e864,1,0,baseline_only
5a87defa5542993e715abfec,0,0,neither
5a84a65d5542992a431d1a83,0,0,neither
5ab9bb8355429970cfb8eb8b,0,0,neither
5a7fd7305542992e7d278dc2,1,0,baseline_only
5adf8ad25542993344016ce7,1,1,shared
5abc3a65554299700f9d782d,0,0,neither
5ac1767a5542994d76dcce48,0,0,neither
5ab3952e5542992ade7c6de8,0,0,neither
5ae26905554299492dc91c17,0,0,neither
5ae207a65542994d89d5b317,1,1,shared
5ae022ab554299025d62a428,1,1,shared
5adf17f95542995ec70e8f6c,0,0,neither
5abb1e1b5542992ccd8e7f19,0,1,candidate_only
5aba3e3355429901930fa78c,1,0,baseline_only
5adf4ba65542992d7e9f931c,1,1,shared
5a845e9055429933447460ec,0,0,neither
5a7a2dac5542990198eaf0b6,0,1,candidate_only
5a75e7b255429976ec32bc95,0,1,candidate_only
5ae1925a554299492dc91b48,0,0,neither
5a8b595855429949d91db563,0,0,neither
5ac15f6c5542994d76dccdf3,0,0,neither
5a7458ff55429979e2882918,1,0,baseline_only
5ab959905542996be2020497,0,0,neither
5a8b7cb95542995d1e6f13bb,0,0,neither
5abbe09d55429931dba145c0,0,0,neither
5a78f59755429970f5fffdf8,0,1,candidate_only
5ae701b2554299572ea54680,0,0,neither
5ae528e655429908b632652c,0,0,neither
5a7f9cbd5542994857a7677c,0,0,neither
5a76f22055429972597f13fa,0,0,neither
5a8d5ec2554299585d9e37c4,0,1,candidate_only
5ab520dd5542996a3a96a02c,1,1,shared
5a86f204554299211dda2b60,0,1,candidate_only
5abe2b0155429976d4830a83,0,0,neither
5a7244955542990c210a408a,0,0,neither
5ade007e5542997545bbbdf4,1,1,shared
5a74d64055429916b0164223,0,0,neither
5a8d7f2b554299068b959d0c,0,0,neither
5ae2196b554299495565da02,0,0,neither
5a78a7025542990784727710,1,0,baseline_only
5ab6e07b55429954757d33a0,0,0,neither
5abcedb355429959677d6b4f,0,0,neither
5ae3ac665542994393b9e73f,0,0,neither
5ab741005542992aa3b8c800,0,0,neither
5a8b7d925542995d1e6f13bd,0,0,neither
5abd648155429933744ab7ac,0,0,neither
5abf931f5542990832d3a158,1,1,shared
5a8fa20555429918e830d298,0,0,neither
5adcceda5542990d50227d31,0,0,neither
5ae375955542990afbd1e15d,0,0,neither
