category,metric,location,baseline,candidate,difference,ci_low,ci_high
accuracy,accuracy,k=1,0.19,0.21,0.02,-0.06,0.1
accuracy,accuracy,k=2,0.26,0.27,0.01,-0.07,0.1
accuracy,accuracy,k=3,0.29,0.21,-0.08,-0.17,0.01
accuracy,accuracy,k=5,0.25,0.2,-0.05,-0.14,0.04
accuracy,accuracy,k=10,0.3,0.14,-0.16,-0.27,-0.05
f1,f1,k=1,0.2756945391772978,0.2624302986016541,-0.013264240575643696,-0.1026871021698608,0.07322121669180494
f1,f1,k=2,0.3622698412698413,0.32841251493604434,-0.03385732633379692,-0.10423510411157469,0.04280102577161401
f1,f1,k=3,0.38402942408635005,0.2685184049397604,-0.11551101914658965,-0.1996913475999566,-0.031294881321137405
f1,f1,k=5,0.3398162393162393,0.2572145698859254,-0.08260166943031394,-0.17434695015129797,0.009285714285714283
f1,f1,k=10,0.42347893772893774,0.20096721144352725,-0.2225117262854105,-0.32250329027697444,-0.1246028500739027
trajectory,EAR@K,k=10,0.17,0.25,0.08,-0.02,0.18
trajectory,P-EAR,k=10,0.11,0.18,0.07,-0.02,0.16
transition,EAR,1->2,0.04,0.03,-0.01,-0.06,0.04
transition,BCR,1->2,0.11,0.09,-0.02,-0.07,0.03
transition,EAR,2->3,0.03,0.08,0.05,-0.01,0.11
transition,BCR,2->3,0.06,0.02,-0.04,-0.1,0.01
transition,EAR,3->5,0.07,0.05,-0.02,-0.08,0.04
transition,BCR,3->5,0.03,0.04,0.01,-0.04,0.06
transition,EAR,5->10,0.04,0.11,0.07,0.02,0.13
transition,BCR,5->10,0.09,0.05,-0.04,-0.11,0.03
overall_transition,EAR,all adjacent,0.045,0.0675,0.0225,-0.005,0.05
overall_transition,BCR,all adjacent,0.0725,0.05,-0.0225,-0.05,0.005
